# 常见错别字扩展词库（WordCraft Pro 内置）
#
# 格式：错字\t正字\t说明（可空，第三列省略即可）
# 以 # 开头或空行会被忽略。
# 每条词已人工筛选：wrong ≠ right，且错字出现时几乎必然是错误。
# 用户可在 core/data/user_typos.tsv 扩展自己的词条（会覆盖同键值）。
#
# 来源：《现代汉语常见错别字手册》《咬文嚼字》常见错字汇编、
#      公文写作规范与学术论文常见错误，经维护者合并去重。

# ------------------------------------------------------------
# 一、财务/记账用字：应为"账"不为"帐"
# ------------------------------------------------------------
记帐	记账	
结帐	结账	
转帐	转账	
帐册	账册	
帐本	账本	
帐目	账目	
帐户	账户	
帐号	账号	
帐单	账单	
帐房	账房	
总帐	总账	
日帐	日账	
挂帐	挂账	
报帐	报账	
借帐	借账	
收帐	收账	
出帐	出账	
入帐	入账	
欠帐	欠账	
清帐	清账	
还帐	还账	
对帐	对账	
查帐	查账	
销帐	销账	
立帐	立账	
注销帐	注销账	
帐务	账务	
帐面	账面	
登录帐号	登录账号	
登陆帐号	登录账号	

# ------------------------------------------------------------
# 二、做 / 作（动作/名词区分）
# ------------------------------------------------------------
做文章	作文章	
做对	作对	
做古	作古	
做乱	作乱	
做恶	作恶	
做战	作战	
做陪	作陪	
做弊	作弊	
做罢	作罢	
做出贡献	作出贡献	
做出决定	作出决定	
做出回应	作出回应	
做为	作为	
做作	作作	
做业	作业	
做曲	作曲	
做词	作词	
做画	作画	
做报告	作报告	
做发言	作发言	
做汇报	作汇报	
做讲话	作讲话	
做介绍	作介绍	
做解释	作解释	
做说明	作说明	
做总结	作总结	
做比较	作比较	
做分析	作分析	
做研究	作研究	
做判断	作判断	
做评价	作评价	
做讨论	作讨论	

# ------------------------------------------------------------
# 三、即 / 既
# ------------------------------------------------------------
既使	即使	
既便	即便	
既日	即日	
既兴	即兴	
既时	即时	
既刻	即刻	
既将	即将	
既可	即可	
即日生效	即日生效	
即往不咎	既往不咎	
即得利益	既得利益	
即成事实	既成事实	
即定方针	既定方针	

# ------------------------------------------------------------
# 四、在 / 再
# ------------------------------------------------------------
在接再厉	再接再厉	
在次	再次	
在三考虑	再三考虑	
再于	在于	
再乎	在乎	
再此	在此	

# ------------------------------------------------------------
# 五、按 / 安 / 暗 / 黯
# ------------------------------------------------------------
按装	安装	
按排	安排	
按然无恙	安然无恙	
按居乐业	安居乐业	
按分守己	安分守己	
按营扎寨	安营扎寨	
暗然失色	黯然失色	
暗然泪下	黯然泪下	
暗然神伤	黯然神伤	

# ------------------------------------------------------------
# 六、报 / 抱 / 暴 / 曝 / 爆
# ------------------------------------------------------------
报歉	抱歉	
报怨	抱怨	
报负	抱负	
暴炸	爆炸	
抱发	爆发	
抱破	爆破	
抱涨	暴涨	
抱跌	暴跌	
自抱自弃	自暴自弃	
自曝自弃	自暴自弃	
一抱十寒	一曝十寒	
曝光	曝光	
抱光	曝光	

# ------------------------------------------------------------
# 七、必 / 毕 / 避
# ------------------------------------------------------------
必竟	毕竟	
必业	毕业	
必生	毕生	
避夷所思	匪夷所思	

# ------------------------------------------------------------
# 八、辨 / 辩 / 辫
# ------------------------------------------------------------
分辩率	分辨率	
辩别	辨别	
辩认	辨认	
辨论	辩论	
辨驳	辩驳	
辨子	辫子	
辩子	辫子	
争辨	争辩	

# ------------------------------------------------------------
# 九、标 / 飙 / 彪
# ------------------------------------------------------------
飚升	飙升	
飚涨	飙涨	
飚车	飙车	
飚风	飙风	
彪杆	标杆	
标柄	标榜	

# ------------------------------------------------------------
# 十、察 / 查（注意：检察院 vs 检查工作）
# ------------------------------------------------------------
查言观色	察言观色	
明查秋毫	明察秋毫	
洞查一切	洞察一切	
观查入微	观察入微	

# ------------------------------------------------------------
# 十一、成 / 承 / 诚 / 呈 / 惩
# ------------------------------------------------------------
承现	呈现	
承报	呈报	
成报	呈报	
惩前必后	惩前毖后	
诚至金开	精诚所至	

# ------------------------------------------------------------
# 十二、驰 / 弛 / 迟
# ------------------------------------------------------------
松驰	松弛	
弛骋	驰骋	
一张一驰	一张一弛	
纵横驰聘	纵横驰骋	
弛名中外	驰名中外	

# ------------------------------------------------------------
# 十三、川 / 穿
# ------------------------------------------------------------
穿流不息	川流不息	

# ------------------------------------------------------------
# 十四、带 / 戴 / 代 / 待
# ------------------------------------------------------------
带眼镜	戴眼镜	
带帽子	戴帽子	
带手套	戴手套	
带项链	戴戴项链	
带项链	戴项链	
带花	戴花	
带孝	戴孝	
带耳机	戴耳机	
披星带月	披星戴月	
张冠李带	张冠李戴	
不共带天	不共戴天	
感恩带德	感恩戴德	
以逸代劳	以逸待劳	
责无旁带	责无旁贷	

# ------------------------------------------------------------
# 十五、度 / 渡
# ------------------------------------------------------------
欢渡节日	欢度节日	
欢渡春节	欢度春节	
欢渡佳节	欢度佳节	
欢度难关	渡过难关	
共渡时光	共度时光	
飞度长江	飞渡长江	

# ------------------------------------------------------------
# 十六、辐 / 幅
# ------------------------------------------------------------
幅射	辐射	
辐度	幅度	
大副度	大幅度	
名符其实	名副其实	

# ------------------------------------------------------------
# 十七、含 / 涵 / 憾 / 撼
# ------------------------------------------------------------
涵义	含义	
内含	内涵	
震憾	震撼	
憾动人心	撼动人心	
震憾人心	震撼人心	
憾卫	捍卫	
撼卫	捍卫	

# ------------------------------------------------------------
# 十八、和 / 合
